User ID,Name,List,Trial ID,First Choice,Second Choice,Third Choice,Fourth Choice
48,Pe,1,25,Distractor,Distractor,Distractor,Distractor
48,Pe,1,29,Target,Target,Target,Target
48,Pe,1,14,Competitor,Competitor,Competitor,Competitor
48,Pe,1,24,Contrast,Contrast,Contrast,Contrast
48,Pe,1,23,Distractor-1,Distractor-1,Distractor-1,Distractor-1
48,Pe,1,18,Distractor-2,Distractor-2,Distractor-2,Distractor-2
48,Pe,1,26,Target,Target,Target,Target
48,Pe,1,12,Competitor,Competitor,Competitor,Competitor
48,Pe,1,22,Distractor-2,Distractor-2,Distractor-2,Distractor-2
48,Pe,1,3,Competitor,Competitor,Competitor,Competitor
48,Pe,1,30,Target,Target,Target,Target
48,Pe,1,15,Competitor,Competitor,Competitor,Competitor
48,Pe,1,27,Distractor-2,Distractor-2,Distractor-2,Distractor-2
48,Pe,1,19,Competitor,Competitor,Competitor,Competitor
48,Pe,1,28,Contrast,Contrast,Contrast,Contrast
48,Pe,1,17,Distractor-1,Distractor-1,Distractor-1,Distractor-1
48,Pe,1,16,Distractor-1,Distractor-1,Distractor-1,Distractor-1
48,Pe,1,21,Target,Target,Target,Target
48,Pe,1,1,Target,Target,Target,Target
48,Pe,1,20,Target,Target,Target,Target
48,Pe,1,8,Distractor-2,Distractor-2,Distractor-2,Distractor-2
48,Pe,1,10,Distractor-2,Distractor-2,Distractor-2,Distractor-2
48,Pe,1,5,Competitor,Competitor,Competitor,Competitor
48,Pe,1,13,Competitor,Competitor,Competitor,Competitor
