User ID,Name,List,Trial ID,First Choice,Second Choice,Third Choice,Fourth Choice
32,er,1,1,Competitor,Competitor,Competitor,Competitor
32,er,1,2,Distractor-1,Distractor-1,Distractor-1,Distractor-1
32,er,1,2,Distractor-1,Distractor-1,Distractor-1,Distractor-1
32,er,1,2,Distractor-1,Distractor-1,Distractor-1,Distractor-1
32,er,1,2,Distractor-1,Distractor-1,Distractor-1,Distractor-1
32,er,1,2,Distractor-1,Distractor-1,Distractor-1,Distractor-1
32,er,1,2,Distractor-1,Distractor-1,Distractor-1,Distractor-1
32,er,1,2,Distractor-1,Distractor-1,Distractor-1,Distractor-1
32,er,1,2,Distractor-1,Distractor-1,Distractor-1,Distractor-1
32,er,1,2,Distractor-1,Distractor-1,Distractor-1,Distractor-1
