User ID,Name,List,Trial ID,First Choice,Second Choice,Third Choice,Fourth Choice
47,s,1,25,Contrast,Contrast,Contrast,Contrast
47,s,1,29,Competitor,Competitor,Competitor,Competitor
47,s,1,18,Target,Target,Target,Target
47,s,1,2,Competitor,Competitor,Competitor,Competitor
47,s,1,27,Contrast,Contrast,Contrast,Contrast
47,s,1,23,Distractor-2,Distractor-2,Distractor-2,Distractor-2
47,s,1,26,Competitor,Competitor,Competitor,Competitor
47,s,1,17,Competitor,Competitor,Competitor,Competitor
47,s,1,30,Distractor-1,Distractor-1,Distractor-1,Distractor-1
47,s,1,21,Distractor-2,Distractor-2,Distractor-2,Distractor-2
47,s,1,13,Competitor,Competitor,Competitor,Competitor
47,s,1,24,Contrast,Contrast,Contrast,Contrast
47,s,1,28,Target,Target,Target,Target
47,s,1,14,Distractor,Distractor,Distractor,Distractor
47,s,1,15,Target,Target,Target,Target
47,s,1,4,Distractor-2,Distractor-2,Distractor-2,Distractor-2
47,s,1,7,Distractor,Distractor,Distractor,Distractor
47,s,1,16,Distractor-1,Distractor-1,Distractor-1,Distractor-1
47,s,1,6,Distractor-1,Distractor-1,Distractor-1,Distractor-1
47,s,1,19,Competitor,Competitor,Competitor,Competitor
47,s,1,20,Distractor-1,Distractor-1,Distractor-1,Distractor-1
47,s,1,22,Competitor,Competitor,Competitor,Competitor
47,s,1,11,Target,Target,Target,Target
47,s,1,9,Competitor,Competitor,Competitor,Competitor
