User ID,Name,List,Trial ID,First Choice,Second Choice,Third Choice,Fourth Choice
43,ee,1,1,Distractor,Distractor,Distractor,Distractor
43,ee,1,2,Distractor-1,Distractor-1,Distractor-1,Distractor-1
43,ee,1,3,Distractor,Distractor,Distractor,Distractor
43,ee,1,4,Distractor-1,Distractor-1,Distractor-1,Distractor-1
43,ee,1,5,Target,Target,Target,Target
43,ee,1,6,Distractor-2,Distractor-2,Distractor-2,Distractor-2
43,ee,1,7,Contrast,Contrast,Contrast,Contrast
43,ee,1,8,Distractor-2,Distractor-2,Distractor-2,Distractor-2
43,ee,1,9,Distractor,Distractor,Distractor,Distractor
43,ee,1,10,Target,Target,Target,Target
